_id,name,address.street,address.city,address.state,address.zip,address.country,phone,website,type,departments[0],departments[1],departments[2],departments[3],departments[4],departments[5],departments[6],departments[7],bedCount,createdAt,mapLink
67cc9c4f70dbada60633af3a,"Government Medical College Hospital, Thiruvananthapuram",Ulloor Road,Thiruvananthapuram,Kerala,695011,India,+91-471-2528300,https://tmc.kerala.gov.in,allopathic,General Medicine,Surgery,Obstetrics & Gynecology,Pediatrics,Orthopedics,,,,1950,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Government+Medical+College+Hospital+Thiruvananthapuram
67cc9c4f70dbada60633af3b,"KIMS Hospital, Thiruvananthapuram","Kumarapuram Road, Anayara",Thiruvananthapuram,Kerala,695029,India,+91-471-2446535,https://kimshealth.org,allopathic,General Medicine,Surgery,Cardiology,Neurology,Emergency Services,,,,650,2025-03-07T00:00:00Z,"https://www.google.com/maps/place/KIMS+Hospital,+Thiruvananthapuram"
67cc9c4f70dbada60633af3c,"SUT Hospital, Thiruvananthapuram",Pattom,Thiruvananthapuram,Kerala,695004,India,+91-471-4077777,https://sutpattom.com,allopathic,General Medicine,Surgery,Emergency Services,Specialized Surgery,,,,,300,2025-03-07T00:00:00Z,"https://www.google.com/maps/place/SUT+Hospital,+Thiruvananthapuram"
67cc9c4f70dbada60633af3d,"TSC Hospital, Thiruvananthapuram","NH By-Pass, Kulathoor",Thiruvananthapuram,Kerala,695583,India,+91-7994873282,https://tschospital.com,allopathic,General Medicine,General & Laparoscopic Surgery,Pediatrics,Obstetrics & Gynecology,Orthopedics,ENT,Cardiology,Radiology,500,2025-03-07T00:00:00Z,"https://www.google.com/maps/place/TSC+Hospital,+Thiruvananthapuram"
67cc9c4f70dbada60633af3e,Ananthapuri Hospitals and Research Institute,"NH Bypass, Chakkai",Thiruvananthapuram,Kerala,695024,India,+91-471-2506969,https://ananthapurihospitals.com,allopathic,General Medicine,Surgery,Neurosciences,Cardiac Sciences,Gastroenterology,,,,800,2025-03-07T00:00:00Z,"https://www.google.com/maps/place/Ananthapuri+Hospitals+and+Research+Institute,+Thiruvananthapuram"
67cc9c4f70dbada60633af3f,"Government Allopathy Hospital, Thiruvananthapuram",Chiramukku,Thiruvananthapuram,Kerala,695009,India,+91-471-XXXXXXX,N/A,allopathic,General Medicine,Surgery,Emergency Services,,,,,,200,2025-03-07T00:00:00Z,"https://www.google.com/maps/place/Government+Allopathy+Hospital,+Thiruvananthapuram"
67cc9c4f70dbada60633af40,"Lords Hospital, Thiruvananthapuram","Anayara Junction, Chakai",Thiruvananthapuram,Kerala,695029,India,+91-471-2949000,https://lordshospital.org,allopathic,General Medicine,Surgery,Orthopedics,Cardiac Care,Fertility Treatments,,,,400,2025-03-07T00:00:00Z,"https://www.google.com/maps/place/Lords+Hospital,+Thiruvananthapuram"
67cc9c4f70dbada60633af41,"Noorul Islam Multi Speciality Hospital, Thiruvananthapuram","Aralumoodu, Neyyattinkara",Thiruvananthapuram,Kerala,695123,India,+91-471-2226513,N/A,allopathic,General Medicine,Surgery,Obstetrics & Gynecology,,,,,,250,2025-03-07T00:00:00Z,"https://www.google.com/maps/place/Noorul+Islam+Multi+Speciality+Hospital,+Thiruvananthapuram"
67cc9c4f70dbada60633af42,"SK Hospital, Thiruvananthapuram","Murinjapalam, Pattom",Thiruvananthapuram,Kerala,695004,India,+91-471-2356260,https://skhospitals.com,allopathic,General Medicine,Surgery,Emergency Services,Wellness & Rehabilitation,,,,,300,2025-03-07T00:00:00Z,"https://www.google.com/maps/place/SK+Hospital,+Thiruvananthapuram"
67cc9c4f70dbada60633af43,"AJ Hospital, Thiruvananthapuram","Near Village Office, Kazhakuttam",Thiruvananthapuram,Kerala,695582,India,+91-471-3044658,N/A,allopathic,General Medicine,Surgery,,,,,,,150,2025-03-07T00:00:00Z,"https://www.google.com/maps/place/AJ+Hospital,+Thiruvananthapuram"
67cc9c4f70dbada60633af44,"Amar Maternity & Fertility Centre, Thiruvananthapuram","Virinchiyode Line, Kachiri Junction, Attingal",Thiruvananthapuram,Kerala,695101,India,+91-471-XXXXXXX,N/A,allopathic,Maternity,Fertility,,,,,,,100,2025-03-07T00:00:00Z,"https://www.google.com/maps/place/Amar+Maternity+%26+Fertility+Centre,+Thiruvananthapuram"
67cc9c4f70dbada60633af45,"Chaithanya Eye Hospital and Research Institute, Thiruvananthapuram",Kesavadasapuram Junction,Thiruvananthapuram,Kerala,695004,India,+91-471-2447183,N/A,allopathic,Ophthalmology,Optometry,,,,,,,120,2025-03-07T00:00:00Z,"https://www.google.com/maps/place/Chaithanya+Eye+Hospital+and+Research+Institute,+Thiruvananthapuram"
67cc9c4f70dbada60633af46,"Cosmopolitan Hospital Private Ltd, Thiruvananthapuram","Kumarapuram Road, Murinjapalam, Pattom",Thiruvananthapuram,Kerala,695004,India,+91-471-2449188,N/A,allopathic,General Medicine,Surgery,,,,,,,180,2025-03-07T00:00:00Z,"https://www.google.com/maps/place/Cosmopolitan+Hospital+Private+Ltd,+Thiruvananthapuram"
67cc9c4f70dbada60633af47,"Gitanjali Hospital, Thiruvananthapuram","Ganapathy Temple Road, Vazhuthacaud",Thiruvananthapuram,Kerala,695014,India,+91-471-2326774,N/A,allopathic,General Medicine,Surgery,,,,,,,160,2025-03-07T00:00:00Z,"https://www.google.com/maps/place/Gitanjali+Hospital,+Thiruvananthapuram"
67cc9c4f70dbada60633af48,"Jubilee Memorial Hospital, Thiruvananthapuram",Palayam,Thiruvananthapuram,Kerala,695034,India,+91-471-2334564,N/A,allopathic,General Medicine,Surgery,,,,,,,200,2025-03-07T00:00:00Z,"https://www.google.com/maps/place/Jubilee+Memorial+Hospital,+Thiruvananthapuram"
67cc9c4f70dbada60633af49,"Dr Govindans Hospital, Thiruvananthapuram",XXXX,Thiruvananthapuram,Kerala,XXXXXX,India,+91-471-XXXXXXX,N/A,allopathic,General Medicine,Surgery,Emergency Services,,,,,,150,2025-03-07T00:00:00Z,"https://www.google.com/maps/place/Dr+Govindans+Hospital,+Thiruvananthapuram"
